NumTrajs,PolicyExecTime,Time,StdReturn,AverageDiscountedReturn,LossAfter,AbsLearnSignal,Perplexity,ProcessExecTime,IRLLoss,AverageReturn,ExplainedVariance,MeanKL,dLoss,Entropy,AveragePolicyStd,Iteration,EnvExecTime,MeanKLBefore,ItrTime,LossBefore,MaxReturn,OriginalTaskAverageReturn,MinReturn
2,0.2590022087097168,33.92592477798462,42.26848545670509,-71.79442344799014,-0.0599658,0.8237186748333469,17.079468,0.002160310745239258,0.53029484,-90.13566836714745,1.6588841411646627e-11,0.009028879,0.05996579,2.837877,1.0,0,27.92867636680603,0.0,33.92594242095947,-9.934108e-09,-47.86718291044235,7.346145108887298,-132.40415382385254
1,0.06729459762573242,55.116398096084595,0.0,-194.68241898451703,-0.12182836,0.8419637176708235,17.080727,0.0013353824615478516,0.14988367,-265.67136846482754,-0.14538286639408438,0.006904153,0.12182839,2.8379507,1.0000488,1,15.898625135421753,0.0,21.185996294021606,3.1789146e-08,-265.67136846482754,6.340743932565918,-265.67136846482754
1,0.06743955612182617,76.514000415802,0.0,-126.48696086381196,-0.0660023,0.8602717918767048,17.143843,0.0012538433074951172,0.23910713,-177.62763583660126,-22.172848979847036,0.0069396743,0.0660023,2.841639,1.0018826,2,16.12844157218933,0.0,21.39371156692505,-0.0,-177.62763583660126,8.928045051090225,-177.62763583660126
1,0.06756043434143066,97.36675357818604,0.0,-227.9727328400164,-0.07546339,0.734145239631438,16.687014,0.0014100074768066406,0.22746004,-327.968582034111,0.5689495294393088,0.0099095125,0.075463295,2.8146307,0.9884474,3,15.686269998550415,0.0,20.848932027816772,-9.536743e-08,-327.968582034111,6.461435685668218,-327.968582034111
1,0.0659189224243164,118.33471822738647,0.0,-418.0654768668811,-0.04028778,0.8960807813818844,17.117767,0.0013670921325683594,0.030618623,-580.3152018785477,0.7873935653169485,0.0064493483,0.04028778,2.840117,1.0011595,4,15.655747413635254,0.0,20.96420907974243,-0.0,-580.3152018785477,4.144814652647572,-580.3152018785477
1,0.06592607498168945,139.25235557556152,0.0,-404.4964669500695,-0.12974364,0.6544259551980456,17.203348,0.0013885498046875,0.028128324,-559.5972533226013,0.9890805553662398,0.0067814854,0.12974364,2.845104,1.0037189,5,15.755757093429565,0.0,20.913331985473633,-0.0,-559.5972533226013,4.821742189074453,-559.5972533226013
1,0.06463098526000977,160.21435689926147,0.0,-232.98175636827534,-0.06305469,0.7488980956779386,17.019028,0.0013458728790283203,0.10252895,-335.47335435450077,0.7297037889053941,0.007786997,0.06305466,2.834332,0.9982519,6,15.784271955490112,0.0,20.958229303359985,-3.1789146e-08,-335.47335435450077,6.883276748967478,-335.47335435450077
2,0.10632562637329102,193.3734450340271,47.18130603432655,-215.5782024272387,-0.062510386,0.9166321951142257,17.034832,0.0022270679473876953,0.3046475,-279.3987774550915,-0.15076499568386748,0.0077500534,0.06251042,2.8352602,0.9987275,7,27.96120047569275,0.0,33.155007123947144,4.0581885e-08,-232.21747142076492,7.736215085463389,-326.58008348941803
1,0.05631375312805176,214.61959052085876,0.0,-335.9389011702947,-0.07850993,0.7978804129011441,17.147097,0.0012769699096679688,0.12886079,-476.1465677022934,0.9763513796374518,0.008467513,0.07850994,2.8418288,1.0019788,8,16.040682792663574,0.0,21.242185831069946,1.5894573e-08,-476.1465677022934,7.2461179711534145,-476.1465677022934
2,0.09604907035827637,246.2308075428009,26.43694308400154,-241.12423697827745,-0.040545046,0.8198536781383803,17.100094,0.0021088123321533203,0.17967252,-307.74388578534126,-2.9464469377177713,0.008528184,0.040545046,2.839084,1.0006174,9,26.350266695022583,0.0,31.60713243484497,-0.0,-281.3069427013397,4.894025939991137,-334.1808288693428
